Sign,Reference,,,,,,,
Hippopotamus,https://www.youtube.com/watch?v=90pTDMy52T0,,,,,,,
Leopard,https://www.youtube.com/watch?v=kqYFEjqPGwM,,,,,,,
Lion,https://www.youtube.com/watch?v=CHwPxFT0cHI,,,,,,,
Monkey,https://www.youtube.com/watch?v=jFcL688BH4M,,,,,,,
Pig,https://www.youtube.com/watch?v=zCK80nyPduE,,,,,,,
Snake,https://www.youtube.com/watch?v=E4IyjxD5hZQ,,,,,,,
Tiger,https://www.youtube.com/watch?v=Q4sn5KK1ywY,,,,,,,
Tortoise,https://www.youtube.com/watch?v=A8NJM0_IS08,,,,,,,
good, https://www.youtube.com/watch?v=07u8q-t1x7g,,,,,,,
Again,,,,,,,,
Against,,,,,,,,
Age,,,,,,,,
All,,,,,,,,
Alone,,,,,,,,
Also,,,,,,,,
And,,,,,,,,
Ask,,,,,,,,
At,,,,,,,,
Be,,,,,,,,
Best,,,,,,,,
Busy,,,,,,,,
But,,,,,,,,
Can,,,,,,,,
Cannot,,,,,,,,
Change,,,,,,,,
College,,,,,,,,
Come,,,,,,,,
Computer,,,,,,,,
Day,,,,,,,,
Distance,,,,,,,,
Do,,,,,,,,
Do Not,,,,,,,,
Does Not,,,,,,,,
Eat,,,,,,,,
Engineer,,,,,,,,
Fight,,,,,,,,
Finish,,,,,,,,
Glitter,,,,,,,,
Go,,,,,,,,
God,,,,,,,,
Gold,,,,,,,,
Great,,,,,,,,
Hand,,,,,,,,
Hands,,,,,,,,
Happy,,,,,,,,
Here,,,,,,,,
Home,,,,,,,,
Homepage,,,,,,,,
How,,,,,,,,
Invent,,,,,,,,
Keep,,,,,,,,
Laugh,,,,,,,,
Learn,,,,,,,,
More,,,,,,,,
Name,,,,,,,,
Next,,,,,,,,
Not,,,,,,,,
Now,,,,,,,,
Of,,,,,,,,
Pretty,,,,,,,,
Right,,,,,,,,
Sad,,,,,,,,
See,,,,,,,,
Self,,,,,,,,
Sing,,,,,,,,
So,,,,,,,,
Sound,,,,,,,,
Stay,,,,,,,,
Study,,,,,,,,
Talk,,,,,,,,
Television,,,,,,,,
Thank,,,,,,,,
That,,,,,,,,
This,,,,,,,,
Those,,,,,,,,
Time,,,,,,,,
To,,,,,,,,
Type,,,,,,,,
Us,,,,,,,,
Wash,,,,,,,,
Way,,,,,,,,
Whole,,,,,,,,
Whose,,,,,,,,
Will,,,,,,,,
Without,,,,,,,,
Words,,,,,,,,
Work,,,,,,,,
World,,,,,,,,
Wrong,,,,,,,,
Have,,,,,,,,
Like,,,,,,,,
